Code,Company name,GICS industry group,High,Low,Open,Close,Volume,Adj Close,moving_20,moving_100,std,price_change,pc_change,short_pred,long_pred
FBU,FLETCHER BUILDING LIMITED,Materials,4.75,4.670000076293945,4.71999979019165,4.699999809265137,1030060.0,4.7,4.841999983787536,4.823951139450073,1.3639870589018646,-0.02,-0.42,SELL,SELL
FLT,FLIGHT CENTRE TRAVEL GROUP LIMITED,Consumer Services,43.40999984741211,42.939998626708984,43.09000015258789,43.060001373291016,170297.0,43.06,42.44600009918213,42.30489238739014,12.774647815701522,-0.03,-0.07,BUY,BUY
FMG,FORTESCUE METALS GROUP LTD,Materials,8.800000190734863,8.609999656677246,8.65999984741211,8.699999809265137,12960166.0,8.7,8.919000005722046,7.49447117805481,1.3077785375422617,0.04,0.46,SELL,BUY
GUD,G.U.D. HOLDINGS LIMITED,Automobiles & Components,10.324999809265137,10.119999885559082,10.270000457763672,10.289999961853027,183513.0,10.29,10.357999992370605,11.418199996948243,2.7838447642573523,0.02,0.19,SELL,SELL
GEM,G8 EDUCATION LIMITED,Consumer Services,2.690000057220459,2.640000104904175,2.640000104904175,2.6700000762939453,1063941.0,2.67,2.8690000057220457,3.0036639046669005,1.1870659350568262,0.03,1.14,SELL,SELL
GXY,GALAXY RESOURCES LIMITED,Materials,1.340000033378601,1.284999966621399,1.2949999570846558,1.3300000429153442,3778711.0,1.33,1.30349999666214,1.6553999960422516,1.4063970337982308,0.035,2.7,BUY,SELL
GMG,GOODMAN GROUP,Real Estate,15.260000228881836,14.949999809265137,15.039999961853027,15.170000076293945,3221814.0,15.17,15.354475593566894,13.738529739379883,2.941134169011285,0.13,0.86,SELL,BUY
GPT,GPT GROUP,Real Estate,6.190000057220459,6.0,6.150000095367432,6.159999847412109,5695444.0,6.16,6.229814410209656,5.946921634674072,1.2078711328913017,0.01,0.16,SELL,BUY
GNC,GRAINCORP LIMITED,"Food, Beverage & Tobacco",8.8100004196167,8.619999885559082,8.619999885559082,8.8100004196167,704967.0,8.81,8.29449999332428,8.650299997329713,1.5585522778159118,0.19,2.2,BUY,BUY
GOZ,GROWTHPOINT PROPERTIES AUSTRALIA,Real Estate,4.389999866485596,4.309999942779541,4.340000152587891,4.380000114440918,737493.0,4.38,4.288477516174316,4.120755083560944,0.9105065318683144,0.04,0.92,BUY,BUY
GWA,GWA GROUP LIMITED.,Capital Goods,3.569999933242798,3.4100000858306885,3.440000057220459,3.559999942779541,1714777.0,3.56,3.5095000147819517,3.3849000000953673,0.48919668426923735,0.12,3.49,BUY,BUY
HVN,HARVEY NORMAN HOLDINGS LIMITED,Retailing,4.309999942779541,4.230000019073486,4.269999980926514,4.309999942779541,1881575.0,4.31,4.120499968528748,3.9574434041976927,0.921913915867416,0.04,0.94,BUY,BUY
